date,fch4_mean,fch4_n,fch4_sd,fch4_se,frac_site_aggregated,frac_tga100a,frac_li7700,n_analyzers,is_mixed
2017-06-24,64.63744186046512,43,9.522128061726555,1.4521109159372756,0.0,1.0,0.0,1,False
2017-06-25,64.263,39,12.885713745727946,2.06336555256425,0.0,1.0,0.0,1,False
2017-06-26,73.95048,25,11.84709289277332,2.369418578554664,0.0,1.0,0.0,1,False
2017-06-28,56.96060714285714,28,12.883824384315123,2.4348139468805483,0.0,1.0,0.0,1,False
2017-06-29,66.61476923076923,39,10.222983997530525,1.6369875539035124,0.0,0.9743589743589743,0.02564102564102564,2,True
2017-06-30,70.615,14,9.949727433452638,2.659176510554671,0.0,0.8571428571428571,0.14285714285714285,2,True
2017-07-01,75.9068076923077,26,19.722567946429756,3.867913800654035,0.0,0.9615384615384616,0.038461538461538464,2,True
2017-07-02,78.00438095238096,21,23.15171133734219,5.052117603387519,0.0,1.0,0.0,1,False
2017-07-03,86.1865,8,11.756268978111816,4.156468757937954,0.0,0.875,0.125,2,True
2017-07-05,100.11838095238095,21,40.27181025168373,8.788029469106634,0.0,0.7619047619047619,0.23809523809523808,2,True
2017-07-06,84.58058620689656,29,20.32014562398121,3.773356313452132,0.0,0.896551724137931,0.10344827586206896,2,True
2017-07-07,82.16891428571428,35,16.206692352909297,2.7394309994274813,0.0,0.9714285714285714,0.02857142857142857,2,True
2017-07-08,98.267375,24,16.808952427882772,3.431113046585771,0.0,0.9583333333333334,0.041666666666666664,2,True
2017-07-09,86.6247,10,12.109944729206838,3.8295007683044595,0.0,1.0,0.0,1,False
2017-07-10,101.25772727272728,22,26.725983291068243,5.697998782963824,0.0,1.0,0.0,1,False
2017-07-11,94.89378947368421,19,28.49892079161156,6.538100827926576,0.0,1.0,0.0,1,False
2017-07-12,75.07726315789473,19,17.33922196076509,3.9778903308734836,0.0,0.9473684210526315,0.05263157894736842,2,True
2017-07-13,62.31395833333334,24,10.526561230811064,2.1487253134708975,0.0,1.0,0.0,1,False
2017-07-14,76.60747058823529,17,12.62798569704234,3.062736403982037,0.0,1.0,0.0,1,False
2017-07-15,87.22946875,32,14.19621825149759,2.5095605482095444,0.0,1.0,0.0,1,False
2017-07-16,89.22754545454546,22,31.028496709787024,6.615297725964295,0.0,0.9090909090909091,0.09090909090909091,2,True
2017-07-18,87.34212500000001,24,28.77429353238831,5.873528071951459,0.0,1.0,0.0,1,False
2017-07-20,88.00014814814814,27,19.61747678181117,3.775385166933304,0.0,0.9629629629629629,0.037037037037037035,2,True
2017-07-21,97.016125,8,26.95861524865474,9.531309826861415,0.0,0.625,0.375,2,True
2017-07-22,84.1846896551724,29,16.886927824934055,3.1358237732225964,0.0,0.6896551724137931,0.3103448275862069,2,True
2017-07-23,70.70733333333334,27,20.651313873269846,3.9743472079505993,0.0,0.9259259259259259,0.07407407407407407,2,True
2017-07-26,84.41472413793103,29,16.32552412612259,3.031573723517954,0.0,1.0,0.0,1,False
2017-07-27,90.7042857142857,14,24.05553938582249,6.429113331128158,0.0,0.9285714285714286,0.07142857142857142,2,True
2017-07-28,94.40788888888888,9,34.40451555190264,11.468171850634214,0.0,0.7777777777777778,0.2222222222222222,2,True
2017-07-29,86.58991666666667,12,14.061911181746721,4.059324103051039,0.0,0.75,0.25,2,True
2017-07-30,103.50864705882353,17,18.847805919858338,4.5712643893363385,0.0,0.8823529411764706,0.11764705882352941,2,True
2017-07-31,113.95027272727272,11,33.291307733674,10.03770695753215,0.0,0.9090909090909091,0.09090909090909091,2,True
2017-08-01,107.67572413793104,29,17.013191448941175,3.1592703395820587,0.0,1.0,0.0,1,False
2017-08-02,89.2278,25,21.95326076007844,4.390652152015688,0.0,1.0,0.0,1,False
2017-08-04,79.12838095238095,21,15.167490334515428,3.309817740972763,0.0,0.9523809523809523,0.047619047619047616,2,True
2017-08-06,61.6344375,16,12.751904573925419,3.1879761434813547,0.0,1.0,0.0,1,False
2017-08-07,86.24650000000001,12,6.417761568136868,1.8526481844793279,0.0,0.75,0.25,2,True
2017-08-08,75.78741176470588,17,14.83945451768201,3.599096376644241,0.0,1.0,0.0,1,False
2017-08-09,53.981923076923074,13,16.106319388475747,4.467089262626855,0.0,1.0,0.0,1,False
2017-08-10,57.298742857142855,35,8.092189020148698,1.3678295960892115,0.0,1.0,0.0,1,False
2017-08-11,78.07366666666667,12,9.515203407115786,2.746802624246172,0.0,1.0,0.0,1,False
2017-08-12,83.20322222222222,9,17.28799725805289,5.762665752684296,0.0,0.8888888888888888,0.1111111111111111,2,True
2017-08-14,64.96340000000001,10,16.522568371775616,5.224894885067066,0.0,1.0,0.0,1,False
2017-08-15,70.44030000000001,10,12.615087501788393,3.9892409387974763,0.0,1.0,0.0,1,False
2017-08-16,55.89148387096774,31,13.41879320672061,2.4100864067278907,0.0,1.0,0.0,1,False
2017-08-17,53.885677419354835,31,10.088987198548384,1.8120355929395482,0.0,1.0,0.0,1,False
2017-08-18,56.57053846153846,13,12.013969532835407,3.3320756286538624,0.0,0.8461538461538461,0.15384615384615385,2,True
2017-08-19,50.106,13,6.808526162099989,1.888345399060735,0.0,1.0,0.0,1,False
2017-08-20,57.61019047619048,21,11.603895430496813,2.532177579362087,0.0,0.9523809523809523,0.047619047619047616,2,True
2017-08-21,51.501888888888885,9,7.86849628970562,2.62283209656854,0.0,1.0,0.0,1,False
2017-08-22,67.82877272727272,44,49.96162105841198,7.531997771303253,0.0,0.9545454545454546,0.045454545454545456,2,True
2017-08-23,59.99645,20,15.059552444859495,3.367418297742898,0.0,0.95,0.05,2,True
2017-08-24,49.41275,8,23.402498949288056,8.274032851876319,0.0,1.0,0.0,1,False
2017-08-25,59.10173333333333,15,17.008730331663152,4.39163528764429,0.0,0.9333333333333333,0.06666666666666667,2,True
2017-08-26,50.49292307692308,26,15.52447173960667,3.0445993976336205,0.0,1.0,0.0,1,False
2017-08-27,49.868,9,14.799347755897891,4.93311591863263,0.0,0.1111111111111111,0.8888888888888888,2,True
2017-08-29,59.9511,10,8.293759494007793,2.622717036671024,0.0,1.0,0.0,1,False
2017-08-30,60.5140294117647,34,17.792201034885352,3.051337304053919,0.0,0.9117647058823529,0.08823529411764706,2,True
2017-08-31,62.558166666666665,12,18.535730658935623,5.350804542781441,0.0,1.0,0.0,1,False
2017-09-02,61.13006666666667,30,10.651708520664442,1.9447270109126327,0.0,1.0,0.0,1,False
2017-09-03,64.7140588235294,17,11.019725288491705,2.67267596057302,0.0,0.9411764705882353,0.058823529411764705,2,True
2017-09-04,73.83120512820513,39,27.420712167015086,4.390828015324816,0.0,0.9230769230769231,0.07692307692307693,2,True
2017-09-05,66.30993333333333,45,12.553642159657386,1.8713864822800788,0.0,0.9555555555555556,0.044444444444444446,2,True
2017-09-06,61.272555555555556,18,5.126292987222798,1.2082788445380948,0.0,1.0,0.0,1,False
2017-09-07,64.29027272727272,11,30.672868330467264,9.248217772375888,0.0,1.0,0.0,1,False
2017-09-08,70.46416666666666,12,20.51506343611637,5.922188698642018,0.0,1.0,0.0,1,False
2017-09-09,56.005,9,8.061262633731767,2.6870875445772557,0.0,1.0,0.0,1,False
2017-09-11,65.92190000000001,20,12.454767351458129,2.784970644180539,0.0,1.0,0.0,1,False
2017-09-14,60.627538461538464,13,14.692080648064477,4.074850009219129,0.0,0.7692307692307693,0.23076923076923078,2,True
2017-09-15,58.54666666666666,18,9.182216873167519,2.16426927244743,0.0,0.0,1.0,1,False
2017-09-19,40.20342857142857,14,5.170637897178283,1.3819111058793143,0.0,1.0,0.0,1,False
2017-09-20,51.9304,20,8.526153395659483,1.9065058579285263,0.0,0.9,0.1,2,True
2017-09-21,48.42958333333333,12,10.22622776321511,2.9520576759433346,0.0,0.9166666666666666,0.08333333333333333,2,True
2017-09-23,49.818628571428576,35,8.03346191613449,1.357902903724113,0.0,1.0,0.0,1,False
2017-09-24,54.6005,8,15.551083398179781,5.498138262825231,0.0,1.0,0.0,1,False
2017-09-25,51.82819047619048,42,5.220611739867626,0.8055578803129998,0.0,1.0,0.0,1,False
2017-09-26,46.23313043478261,23,8.505835565306421,1.773589318965696,0.0,1.0,0.0,1,False
2017-09-27,52.137,31,6.627733217322495,1.1903760262500953,0.0,0.967741935483871,0.03225806451612903,2,True
2017-09-28,54.64071428571428,21,13.988482666618482,3.052537175112234,0.0,1.0,0.0,1,False
2017-09-29,49.590105263157895,19,18.209573266385455,4.177562614377581,0.0,1.0,0.0,1,False
2017-10-03,49.260473684210524,19,9.69746162874263,2.2247502762396034,0.0,1.0,0.0,1,False
2017-10-04,49.10751612903226,31,6.091618339275521,1.094086951657421,0.0,1.0,0.0,1,False
2017-10-05,51.84080952380952,21,9.286011558355115,2.026373850971293,0.0,1.0,0.0,1,False
2017-10-08,49.49914285714285,28,7.0365983349189465,1.3297920907176226,0.0,1.0,0.0,1,False
2017-10-09,51.67614285714286,28,7.948870437873249,1.502195313034694,0.0,1.0,0.0,1,False
2017-10-10,50.50533333333333,9,7.629124769591856,2.543041589863952,0.0,1.0,0.0,1,False
