date,FC_mean,FC_n,FC_sd,FC_se
2022-05-05,-1.0821159375,16,0.737957150263299,0.18448928756582475
2022-05-06,-0.4029785000000001,28,1.5842189992890996,0.2993892495987549
2022-05-07,0.39365057142857135,28,1.6647974904604137,0.31461715307447713
2022-05-09,0.6402775454545454,22,1.2467875301264955,0.265815994566211
2022-05-10,-1.0509317714285715,35,1.6255605735974334,0.27476988701895977
2022-05-11,-1.7614694705882354,17,1.244972219740772,0.301950115467699
2022-05-13,-0.5249990740740741,27,1.336859068986847,0.2572786477827162
2022-05-14,-1.75858036,25,1.2027642285071878,0.24055284570143756
2022-05-15,-0.7095001363636364,44,1.678246330827726,0.253005153870283
2022-05-16,-2.0555184285714287,35,2.0646874867487144,0.3489958828220807
2022-05-17,-2.3009603846153848,13,1.683337612790511,0.46687385206410265
2022-05-18,-2.415780105263158,19,1.522478076328081,0.3492804251826478
2022-05-19,-1.307156,15,1.5034649445702797,0.38819297946182335
2022-05-20,-2.20864140625,32,1.8637911889464038,0.32947484710493496
2022-05-21,-2.58060475,16,2.7467422886500175,0.6866855721625044
2022-05-22,-2.2077595,36,1.6842806299221296,0.28071343832035495
2022-05-23,-2.509471678571429,28,1.7698299896695884,0.334466429680696
2022-05-24,-1.69429925,8,0.8753478033929061,0.3094821838379363
2022-05-25,-2.641551263157895,19,1.546043528186593,0.35468671061475976
2022-05-26,-3.3321451904761905,21,1.5353545261354988,0.3350418254575704
2022-05-27,-2.633039380952381,21,1.0497655520971567,0.2290776240210633
2022-05-28,-2.3841441363636364,22,2.3573399868513887,0.5025865738904414
2022-05-29,-1.9740327333333334,15,2.5163032784331367,0.6497067127585775
2022-05-30,-3.387876875,8,0.8437637864056229,0.2983155475435268
2022-05-31,-3.5008263076923076,13,4.534754676366175,1.2577146544067963
2022-06-01,-1.7803483,30,1.8223900592783158,0.3327213813466368
2022-06-02,-1.9015379393939393,33,2.0103317573228416,0.34995384000805907
2022-06-03,-3.1121325428571427,35,2.2352471575942157,0.3778257291221149
2022-06-04,-3.8216033846153845,26,1.1825730978912066,0.2319216654768128
2022-06-05,-2.9937346666666667,18,1.9404204543052004,0.45736148719742953
2022-06-06,-3.2293608148148145,27,2.4970358095049425,0.48055476559793786
2022-06-07,-4.061941047619048,21,1.7224860770300428,0.375877277690367
2022-06-08,-3.9405507931034482,29,2.5174163745244194,0.4674724849997599
2022-06-09,-3.449848130434783,23,2.2488529529248362,0.4689182557796446
2022-06-10,-4.40247580952381,21,1.4930739679296738,0.3258154512478952
2022-06-11,-3.983567888888889,18,2.2175582711841866,0.5226834970768851
2022-06-12,-1.3728433170731709,41,3.2606611593439943,0.5092297194988151
2022-06-13,-0.2533322142857143,28,4.360980977363875,0.8241479384563007
2022-06-14,-2.134077076923077,26,3.0842568200000975,0.6048725273120049
2022-06-15,-4.837871428571428,14,1.4735346857770641,0.3938187101218122
2022-06-16,-2.1014892187500003,32,4.692875789294613,0.829591073469098
2022-06-17,-2.5397469166666666,36,4.503833686211403,0.7506389477019004
2022-06-18,-1.7924402962962962,27,3.542720786814214,0.6817969333102897
2022-06-19,-5.200410636363636,11,1.0699299607574573,0.3225960210720148
2022-06-20,-4.40520847368421,19,1.0950832352037279,0.2512293240536122
2022-06-23,-5.152215277777778,18,1.8579803243487047,0.4379301622193834
2022-06-24,-5.640120647058824,17,2.6170022071071113,0.6347162660221861
2022-06-25,-2.50637848,25,4.469392486842359,0.8938784973684719
2022-06-26,-5.099093791666667,24,3.7681030200300705,0.7691608081094979
2022-06-27,-5.470219166666666,18,2.1565958794000877,0.508314523534256
2022-06-28,-6.0971118461538465,26,3.247629248488844,0.6369124965753572
2022-06-29,-2.7306675294117646,17,3.719159345943484,0.9020286365781222
2022-06-30,-4.0467039428571425,35,4.675986915293811,0.7903860473030873
2022-07-01,-5.4310628275862065,29,3.2660370223278457,0.6064878493599408
2022-07-02,-6.029804923076923,26,2.832581541237617,0.5555149443312821
2022-07-03,-4.123392111111111,18,2.9001259934839325,0.683566252095954
2022-07-04,-2.077156761904762,21,3.2100711146551397,0.700494946147545
2022-07-05,-3.173659285714286,28,5.818250145136186,1.099545924971129
2022-07-06,-5.239668625,24,2.7759328618346726,0.566634922643232
2022-07-07,-7.261927571428572,21,1.60950899040849,0.3512236562028028
2022-07-08,-4.119041615384615,26,3.9383348293788334,0.7723710056178763
2022-07-09,-4.723844125,16,2.6573821727493363,0.6643455431873341
2022-07-10,-4.210269266666667,15,3.2142005262363345,0.8299030072989626
2022-07-11,-1.2631586666666665,15,3.6511937670586327,0.9427341769062938
2022-07-12,-4.577323655172414,29,4.091880927773858,0.7598432126631954
2022-07-13,-6.1194979047619045,21,2.619722673980051,0.5716703549193193
2022-07-14,-6.026086882352941,17,4.629401234337883,1.12279472191411
2022-07-15,-5.390695095238095,21,2.6177516931704563,0.5712402516453539
2022-07-16,-5.6795179375,16,3.7199263153134896,0.9299815788283724
2022-07-17,-4.62021025,24,3.1454191604390034,0.6420559975207513
2022-07-18,-4.901381238095238,21,3.352351768753988,0.7315431303063927
2022-07-19,-1.8967149473684213,19,4.351407380187746,0.9982813174955503
2022-07-20,-2.305549804347826,46,5.442414441868819,0.8024402315148014
2022-07-21,-3.67409,39,4.576330664600739,0.7327993805241237
2022-07-22,-3.5990611052631576,38,4.206431705659951,0.6823733291816547
2022-07-23,-3.19935428,25,4.666145968364564,0.9332291936729128
2022-07-24,-4.226805588235294,34,5.294996437942523,0.9080843974417668
2022-07-25,-3.6181752,30,4.536399767959004,0.8282294942574493
2022-07-27,-3.6773273846153844,26,5.003805946697751,0.9813270832478251
2022-07-28,-2.6796197631578944,38,5.000287646641294,0.811153768100747
2022-07-29,-6.0709526296296294,27,3.01276011516436,0.5798059544979703
2022-07-30,-4.606796470588235,17,3.953590488472063,0.9588865402592728
2022-07-31,2.5100485,12,6.2114785758601725,1.793099413919232
2022-08-01,-4.557182322580645,31,5.482873421534268,0.9847531368492389
2022-08-02,-1.9637411999999999,15,5.149191825630229,1.3295156124728829
2022-08-03,-4.418437028571429,35,4.719160161300216,0.797683657813638
2022-08-04,-5.504630384615384,13,1.7945536586672248,0.49771963329970625
2022-08-05,-5.897527375,8,1.1217825027585004,0.3966100073584763
2022-08-06,-3.3501187105263157,38,5.803758337558023,0.9414939254181743
2022-08-07,-4.666621454545455,11,3.32311104465034,1.0019556792537407
2022-08-08,-5.15155308,25,3.588644165394594,0.7177288330789188
2022-08-09,-3.271155482758621,29,5.087115226419549,0.9446535823156079
2022-08-10,-5.552199666666667,27,4.364016518266312,0.8398553705230095
2022-08-11,-6.333275333333333,15,2.241520357662491,0.5787580676941148
2022-08-12,-1.9109854666666666,15,3.0312767237497913,0.7826722845886082
2022-08-13,-4.37128832,25,3.9074716852529328,0.7814943370505866
2022-08-14,-4.639050913043478,23,2.3902217810702093,0.49839569414631235
2022-08-15,-5.199738333333333,18,3.183353243778974,0.7503235551961018
2022-08-16,1.7371397499999999,12,1.8928052516294012,0.5464058107758861
2022-08-21,-6.261231277777778,18,3.1315926478782954,0.738123465742893
2022-08-22,-5.53884225,20,2.2162242561207055,0.4955628090069802
2022-08-23,-3.2756330833333336,24,4.25505838662646,0.8685601560820877
2022-08-25,-5.7707046956521735,23,3.226161457184069,0.6727011658982547
2022-08-26,-6.135508117647058,17,3.2089526588718718,0.778285338831492
2022-08-28,-2.857038111111111,9,4.833547541377643,1.6111825137925477
2022-08-29,-1.6112789696969698,33,3.619670057583499,0.6301036789571614
2022-08-30,-3.197786361111111,36,4.0464996609281325,0.6744166101546888
2022-08-31,-5.8167743000000005,20,2.6848654589010224,0.6003541676543853
2022-09-01,-5.314740666666666,12,1.015821482904831,0.2932424033018545
2022-09-02,-3.1549316111111114,36,4.758281824213929,0.7930469707023216
2022-09-03,-4.514222238095238,21,3.9049688076267515,0.8521340546376686
2022-09-04,-4.8463409375,16,2.743296194465227,0.6858240486163067
2022-09-05,-3.3426762352941175,17,4.0444743075800895,0.980929104132327
2022-09-06,-2.4334260370370373,27,4.724906641930304,0.9093087072047706
2022-09-07,-4.20748525,8,1.569830050397244,0.5550187369731554
2022-09-08,-1.993264923076923,26,4.071966117303363,0.798578257339173
2022-09-09,-2.58357188,25,4.10237885270758,0.820475770541516
2022-09-10,-4.017637692307693,13,3.0314951665216396,0.8407854818626936
2022-09-11,-3.8579418823529417,17,2.843772868258225,0.689716230064374
2022-09-12,-5.031695785714286,14,2.7706755687936795,0.7404941934522116
2022-09-13,-5.957270944444444,18,3.3705743221846864,0.7944519865700144
2022-09-14,-1.9285754499999999,40,3.3453288363635703,0.5289429322574799
2022-09-15,-0.005913315789473692,19,3.7315720614614674,0.8560813429710674
2022-09-17,-4.6842289,10,1.2040092688085875,0.3807411613389061
2022-09-18,-2.322983290322581,31,2.9819370227387343,0.5355716995938123
2022-09-19,-4.916112083333333,12,2.3506249042891265,0.6785669606275828
2022-09-20,-2.2300394814814815,27,3.5212154992389015,0.677658238786754
2022-09-21,-1.250692361111111,36,3.236135840559171,0.5393559734265285
2022-09-22,-0.49425111764705887,17,2.529892988840978,0.6135891773235831
2022-09-27,-3.3780045217391304,23,2.761086579909914,0.5757263503707684
2022-09-28,-3.8295928333333333,12,1.1052421710098268,0.31905593247612496
2022-09-30,-2.9061790769230766,13,1.5831840770648695,0.4390962591042707
2022-10-01,-1.3974032272727273,22,2.3801460227318376,0.5074488370773848
2022-10-02,-0.8756696086956522,23,2.5453423693332624,0.5307405727161716
2022-10-03,-1.1642645,8,3.9008643556065876,1.3791638191691549
2022-10-04,-2.3617334545454547,11,1.780157311016943,0.5367376244046547
2022-10-05,-1.8039825925925925,27,2.70970655179576,0.5214832690347249
2022-10-06,-0.8452686333333334,30,2.3857602151626054,0.4355782288809792
2022-10-07,-1.390561425,40,2.202593015343156,0.3482605343431285
2022-10-08,-1.236057825,40,2.045930127717413,0.3234899568573107
2022-10-09,-2.704076375,8,2.606826262069149,0.9216522636421376
2022-10-10,-2.6437413636363636,11,0.9715471192666131,0.2929324782507294
2022-10-11,-0.9959208823529413,17,2.1103487576358937,0.5118347549778702
2022-10-12,-0.67984972,25,1.986621792931565,0.397324358586313
